# Constructed from biom file
#OTU ID	C01.05102014.R1.D01	C01.05102014.R1.D02	C01.05102014.R1.D03	C02.05102014.R1.D01	C02.05102014.R1.D02	C02.05102014.R1.D03	C03.05102014.R1.D01	C03.05102014.R1.D02	C03.05102014.R1.D03	C04.05102014.R1.D01	C04.05102014.R1.D02	C04.05102014.R1.D03	C05.05102014.R1.D01	C05.05102014.R1.D02	C05.05102014.R1.D03	C06.05102014.R1.D01	C06.05102014.R1.D02	C06.05102014.R1.D03	C07.05102014.R1.D01	C07.05102014.R1.D02	C07.05102014.R1.D03	C08.05102014.R1.D01	C08.05102014.R1.D02	C08.05102014.R1.D03	C09.05102014.R2.D04	C09.05102014.R2.D05	C09.05102014.R2.D06	C10.05102014.R1.D01	C10.05102014.R1.D02	C10.05102014.R1.D03	C11.06102014.R1.D01	C11.06102014.R1.D02	C11.06102014.R1.D03	C12.06102014.R2.D01	C12.06102014.R2.D02	C12.06102014.R2.D03	C13.06102014.R2.D10	C13.06102014.R2.D11	C13.06102014.R2.D12	C14.06102014.R1.D01	C14.06102014.R1.D02	C14.06102014.R1.D03	C15.06102014.R2.D01	C15.06102014.R2.D02	C15.06102014.R2.D03	C16.06102014.R1.D01	C16.06102014.R1.D02	C16.06102014.R1.D03	C17.06102014.R1.D01	C17.06102014.R1.D02	C17.06102014.R1.D03	C18.06102014.RE1.D04	C18.06102014.RE1.D05	C18.06102014.RE1.D06
Unassigned;Other	0.00132118388973	0.00136204524714	0.00166169520151	0.0007627453384	0.00108963619771	0.000967052125472	0.000681022623572	0.00122584072243	0.000953431673	0.00117135891254	0.0011441180076	0.00113049755513	0.0012394611749	0.0011441180076	0.000912570315586	0.00141652705703	0.00272409049429	0.00170255655893	0.000967052125472	0.000912570315586	0.0011441180076	0.00113049755513	0.000967052125472	0.0007627453384	0.00103515438783	0.000394993121672	0.000435854479086	0.00163445429657	0.00141652705703	0.00149824977186	0.00198858606083	0.00416785845626	0.00234271782509	0.00216565194296	0.00208392922813	0.00132118388973	0.00193410425094	0.00250616325474	0.00178427927376	0.00148462931939	0.00243806099239	0.00234271782509	0.00134842479467	0.00107601574524	0.00138928615209	0.000830847600757	0.000953431673	0.000694643076043	0.000749124885929	0.000749124885929	0.000694643076043	0.00103515438783	0.00140290660456	0.000926190768057
k__Archaea;p__Crenarchaeota	0.00456285157793	0.00369114261976	0.003813726692	0.00307822225854	0.00408613574143	0.00439940614827	0.00439940614827	0.00497146515207	0.00542094008363	0.0101199961863	0.0122447867718	0.0114275596235	0.0101608575437	0.00840381917487	0.00849916234217	0.00251978370721	0.0018115201787	0.00201582696577	0.0383007123497	0.0312725588744	0.044116645555	0.00136204524714	0.00182514063117	0.00311908361596	0.193192497855	0.274833489969	0.203625764448	0.269085659026	0.278088778109	0.239107043136	0.00239719963497	0.00239719963497	0.00284667456653	0.147781909315	0.113444748635	0.217804655471	0.013606832019	0.0143150955475	0.0173252155437	0.200670126262	0.157942766859	0.113349405467	0.123278715319	0.124191285635	0.117816913878	0.0115501436958	0.0173524564486	0.0118634141026	0.0042904425285	0.00536645827374	0.00599299908743	0.00222013375284	0.00435854479086	0.00197496560836
k__Archaea;p__Euryarchaeota	0.000558438551329	0.000558438551329	0.00111687710266	0.000735504433457	0.000585679456272	0.0004767158365	0.000776365790872	0.000449474931557	0.000367752216729	0.00102153393536	0.000844468053229	0.00236995873003	0.000912570315586	0.000735504433457	0.000776365790872	0.0108146392623	0.00649695582887	0.00708263528514	0.000258788596957	0.000490336288972	0.000531197646386	0.000340511311786	0.000340511311786	0.000463095384029	0.0011441180076	0.00140290660456	0.00170255655893	0.00246530189733	0.00189324289353	0.00187962244106	6.81022623572e-05	8.17227148286e-05	0.000149824977186	0.0002860295019	0.000217927239543	0.000313270406843	0.0004767158365	0.000231547692014	0.000435854479086	0.0004767158365	9.53431673e-05	8.17227148286e-05	6.81022623572e-05	0.000177065882129	0.000435854479086	0.00138928615209	0.0011441180076	0.00138928615209	6.81022623572e-05	0.000163445429657	0.000136204524714	0.000272409049429	0.000354131764257	0.000313270406843
k__Archaea;p__[Parvarchaeota]	0.0	0.0	0.0	0.0	0.0	5.44818098857e-05	1.36204524714e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36204524714e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36204524714e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;Other	0.0	5.44818098857e-05	0.0	5.44818098857e-05	2.72409049429e-05	6.81022623572e-05	8.17227148286e-05	8.17227148286e-05	2.72409049429e-05	5.44818098857e-05	0.0	1.36204524714e-05	0.0	0.0	0.000163445429657	0.0	0.0	2.72409049429e-05	0.0	1.36204524714e-05	0.0	9.53431673e-05	2.72409049429e-05	1.36204524714e-05	0.0	1.36204524714e-05	1.36204524714e-05	0.0	0.0	0.0	1.36204524714e-05	5.44818098857e-05	5.44818098857e-05	0.0	0.0	0.0	0.0	4.08613574143e-05	0.000108963619771	0.0	1.36204524714e-05	2.72409049429e-05	2.72409049429e-05	0.0	5.44818098857e-05	0.0	2.72409049429e-05	5.44818098857e-05	2.72409049429e-05	2.72409049429e-05	0.0	1.36204524714e-05	0.0	4.08613574143e-05
k__Bacteria;p__	0.0	0.0	0.0001906863346	0.0	0.0	0.0	0.0	2.72409049429e-05	0.0	2.72409049429e-05	0.0	1.36204524714e-05	0.0	0.0	1.36204524714e-05	0.0	0.0	0.0	4.08613574143e-05	0.0	5.44818098857e-05	0.000108963619771	5.44818098857e-05	9.53431673e-05	0.000449474931557	0.0001906863346	0.000204306787071	0.0	0.0	0.0	0.0	0.0	2.72409049429e-05	0.0	0.0	0.0	0.0	0.0	2.72409049429e-05	0.0	1.36204524714e-05	0.0	0.0	0.0	2.72409049429e-05	0.0	0.0	2.72409049429e-05	0.0	1.36204524714e-05	0.0	2.72409049429e-05	0.0	0.0
k__Bacteria;p__AD3	0.000681022623572	0.000326890859314	0.000653781718629	0.000136204524714	0.000231547692014	0.000231547692014	0.000122584072243	0.000122584072243	0.000258788596957	0.00156635203421	0.00175703836881	0.0018115201787	0.000558438551329	0.000367752216729	0.000939811220529	2.72409049429e-05	4.08613574143e-05	4.08613574143e-05	0.000612920361214	0.0007627453384	0.000558438551329	2.72409049429e-05	0.0	4.08613574143e-05	0.000463095384029	0.000844468053229	0.000980672577943	0.0	2.72409049429e-05	0.0	0.00119859981749	0.000898949863114	0.00115773846007	0.0	0.0	0.0	0.0	0.0	0.0	0.000258788596957	0.000313270406843	0.000108963619771	2.72409049429e-05	2.72409049429e-05	2.72409049429e-05	0.000204306787071	8.17227148286e-05	0.000108963619771	0.000163445429657	1.36204524714e-05	1.36204524714e-05	0.000789986243343	0.000394993121672	0.000503956741443
k__Bacteria;p__Acidobacteria	0.234135577984	0.236532777619	0.232964219071	0.234694016535	0.27153734047	0.312548522862	0.338236696223	0.348615481006	0.395170187554	0.432095234204	0.459118211907	0.437883926504	0.362481101622	0.354690202809	0.420585951865	0.352415587246	0.345142265626	0.360056661082	0.389830970185	0.35519415955	0.37305057274	0.181628733707	0.15381576976	0.155845217178	0.257521894877	0.324153148368	0.404037102113	0.356474482082	0.310423732276	0.346831201733	0.321115787466	0.343752979474	0.345755185987	0.40033233904	0.413748484725	0.36715291682	0.114207493973	0.113526471349	0.108432422125	0.247551723668	0.267682752421	0.276263637478	0.321728707828	0.284435908961	0.236886909383	0.35419986652	0.365164330759	0.331480951797	0.197101567714	0.19889946744	0.234285402961	0.377449978888	0.243520069737	0.406066549531
k__Bacteria;p__Actinobacteria	0.0385731213991	0.035018183304	0.0411065255588	0.0600117135891	0.068156744167	0.0882332911099	0.0375107261063	0.0362031626691	0.0309865293725	0.0465819474523	0.0371157329847	0.0447976681785	0.0299241340797	0.0268867731786	0.0318446178782	0.0473310723382	0.046023508901	0.0573965867146	0.0297470681976	0.0428908048325	0.0329206336234	0.0568517686158	0.0514716898895	0.0631307972051	0.0350045628516	0.0346640515398	0.0384641577793	0.0350862855664	0.044838529536	0.0455059317071	0.106893310996	0.0593987932279	0.0732644138438	0.00469905610264	0.00231547692014	0.00337787221291	0.0716435799997	0.067925196475	0.0668628011823	0.0303872294638	0.0422370231139	0.0315994497337	0.0108146392623	0.0125852980836	0.0169710837794	0.0683338100492	0.0623408109617	0.0632533812773	0.0972636510985	0.0682657077868	0.0621909859846	0.0442800909846	0.0394584508097	0.0433266593116
k__Bacteria;p__Aquificae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72409049429e-05	5.44818098857e-05	0.000108963619771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
