Centralia_C01	Centralia_C02	Centralia_C03	Centralia_C04	Centralia_C05	Centralia_C06	Centralia_C07	Centralia_C08	Centralia_C09	Centralia_C10	Centralia_C11	Centralia_C12	Centralia_C13	Centralia_C14	Centralia_C15	Centralia_C16	Centralia_C17	Centralia_C18
Unassigned;Other;Other	0.001448308	0.000939811	0.000953432	0.001148658	0.001098716	0.001947725	0.001007913	0.000953432	0.000622001	0.00151641	0.002833054	0.001856922	0.002074849	0.002088469	0.001271242	0.000826307	0.000730964	0.001121417
k__Archaea;p__Crenarchaeota;c__Aigarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	5.45E-05	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__MBGA	0.001121417	0.00151641	0.003486836	0.003732004	0.004444808	0.001557272	0.01114153	6.81E-05	0.022600871	0.247193052	0.001116877	0.146787616	4.54E-06	0.152036031	0.09812628	0.00180698	9.08E-05	0.000444935
k__Archaea;p__Crenarchaeota;c__MCG	0.000508497	0.00029057	0.000222467	3.63E-05	0.000258789	7.26E-05	8.17E-05	5.90E-05	9.53E-05	0.000118044	2.72E-05	8.17E-05	0.000267869	6.81E-05	0.000122584	8.17E-05	6.81E-05	0.000326891
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	0.002342718	0.002033988	0.00118952	0.007491249	0.004276822	0.000440395	0.026632525	0.001961345	0.0385368	0.002369959	0.001393826	0.012167604	0.014401358	0.005193933	0.022955003	0.011699969	0.005057728	0.002079389
k__Archaea;p__Crenarchaeota;c__Thermoprotei	4.99E-05	1.36E-05	3.18E-05	4.54E-06	4.09E-05	4.54E-05	4.09E-05	1.36E-05	0.162650903	0.012412772	9.08E-06	0.000640161	0.000354132	2.27E-05	0.000558439	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	1.36E-05	0	1.36E-05	0	4.54E-06	0	0	0	4.54E-06	0	0	0	4.54E-06	0	0	0	0	4.54E-06
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	1.36E-05	1.82E-05	4.54E-06	0	0	0	4.54E-06	0	0	4.54E-06	1.82E-05	9.08E-06	4.54E-06	1.36E-05	0	0	0	4.54E-06
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.000717344	0.000581139	0.000513037	0.001411987	0.000803607	0.00813141	0.000422234	0.000381373	0.001411987	0.002074849	8.17E-05	0.000263329	0.000372292	0.000204307	0.000227008	0.001307563	0.000122584	0.00030419
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea]	0	1.82E-05	4.54E-06	0	0	0	0	0	0	4.54E-06	0	0	4.54E-06	0	0	0	0	0
k__Bacteria;Other;Other	1.82E-05	4.99E-05	6.36E-05	2.27E-05	5.45E-05	9.08E-06	4.54E-06	4.54E-05	9.08E-06	0	4.09E-05	0	4.99E-05	1.36E-05	2.72E-05	2.72E-05	1.82E-05	1.82E-05
k__Bacteria;p__;c__	6.36E-05	0	9.08E-06	1.36E-05	4.54E-06	0	3.18E-05	8.63E-05	0.000281489	0	9.08E-06	0	9.08E-06	4.54E-06	9.08E-06	9.08E-06	4.54E-06	9.08E-06
k__Bacteria;p__AD3;c__ABS-6	2.72E-05	4.54E-06	4.54E-06	1.82E-05	0	0	2.27E-05	4.54E-06	0	4.54E-06	1.36E-05	0	0	3.18E-05	0	9.08E-06	0	0
k__Bacteria;p__AD3;c__JG37-AG-4	0.000526657	0.000195226	0.000163445	0.001693476	0.000622001	3.63E-05	0.000622001	1.82E-05	0.000762745	4.54E-06	0.001071476	0	0	0.000195226	2.72E-05	0.000122584	6.36E-05	0.000562979
k__Bacteria;p__Acidobacteria;Other	1.82E-05	1.36E-05	9.08E-06	8.63E-05	2.27E-05	0.000131664	3.18E-05	0	8.63E-05	0	9.08E-06	0.000576599	3.18E-05	4.09E-05	0.000104423	1.36E-05	1.82E-05	4.99E-05
k__Bacteria;p__Acidobacteria;c__	0.000544818	0.000322351	0.000181606	4.99E-05	0.000326891	9.53E-05	9.53E-05	0.004417567	0.000245168	0.000145285	7.72E-05	6.36E-05	0.000449475	9.99E-05	0.000213387	8.63E-05	0.004413027	0.000413154
k__Bacteria;p__Acidobacteria;c__AT-s2-57	0	1.36E-05	0	0	2.27E-05	0	4.54E-06	0	1.82E-05	0	0	0	0	0	0	0	0	4.54E-06
