Centralia_C01	Centralia_C02	Centralia_C03	Centralia_C04	Centralia_C05	Centralia_C06	Centralia_C07	Centralia_C08	Centralia_C09	Centralia_C10	Centralia_C11	Centralia_C12	Centralia_C13	Centralia_C14	Centralia_C15	Centralia_C16	Centralia_C17	Centralia_C18
Unassigned;Other;Other;Other;Other	0.001448308	0.000939811	0.000953432	0.001148658	0.001098716	0.001947725	0.001007913	0.000953432	0.000622001	0.00151641	0.002833054	0.001856922	0.002074849	0.002088469	0.001271242	0.000826307	0.000730964	0.001121417
k__Archaea;p__Crenarchaeota;c__Aigarchaeota;o__[Caldiarchales];f__[Caldiarchaceae]	0	0	0	0	0	0	0	0	0	0	0	0	5.45E-05	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__MBGA;Other;Other	0	0	4.54E-06	0	0	0	0	0	1.36E-05	0	0	0	0	9.08E-06	6.36E-05	0	0	0
k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__	3.18E-05	2.72E-05	9.53E-05	2.27E-05	5.90E-05	0.000122584	7.72E-05	3.63E-05	0.006210926	0.20620457	2.27E-05	0.134465647	0	0.121943911	0.08609034	0.001620834	0	0
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__	0.001089636	0.001489169	0.003386953	0.003709303	0.004385786	0.001434688	0.011064348	3.18E-05	0.016376324	0.040988482	0.001094176	0.012321969	4.54E-06	0.030083039	0.011972378	0.000186146	9.08E-05	0.000444935
k__Archaea;p__Crenarchaeota;c__MCG;o__;f__	0	0	0	0	4.54E-06	4.54E-06	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__MCG;o__B10;f__	0	9.08E-06	0	0	0	0	0	0	0	0	0	0	0	0	4.54E-06	0	0	0
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__	0.000508497	0.000281489	0.000222467	3.63E-05	0.000254248	6.81E-05	8.17E-05	5.90E-05	9.53E-05	0.000118044	2.72E-05	8.17E-05	0.000267869	6.81E-05	0.000118044	8.17E-05	6.81E-05	0.000326891
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;Other;Other	0	0	0	0	0	0	0	0	0	2.27E-05	0	3.63E-05	0	3.18E-05	2.27E-05	4.54E-06	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36E-05	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae	0.000354132	0.000576599	0.000199767	6.81E-05	0.000272409	6.81E-05	6.36E-05	0.000113504	8.17E-05	7.26E-05	3.63E-05	0.000104423	0.010682975	6.81E-05	0.000240628	0.000186146	8.17E-05	0.00030873
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X	9.08E-06	0	4.09E-05	0.00691011	0.002923857	9.53E-05	0.026260232	0.000199767	0.037401762	0.00151641	0.000245168	0.010347004	0	4.09E-05	0.019781437	0.003455055	0	4.54E-06
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrosocaldales;f__Nitrosocaldaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.000104423	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae	0.001979506	0.001457388	0.000948892	0.000513037	0.001080556	0.000276949	0.00030873	0.001648075	0.001053315	0.000758205	0.001112337	0.001679856	0.00361396	0.005053188	0.002896616	0.008054228	0.004976005	0.001766119
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__;f__	0	0	0	0	0	0	0	0	0	0.000531198	0	0	0	0	0.000394993	0	0	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.000354132	0	5.45E-05	0	0	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae	0	0	0	0	0	0	0	0	0	1.82E-05	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA;f__	0	0	0	0	0	0	0	0	8.63E-05	0.000140745	0	4.54E-06	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA;f__SK322	4.99E-05	1.36E-05	3.18E-05	4.54E-06	4.09E-05	4.54E-05	4.09E-05	1.36E-05	0.16256464	0.011722669	9.08E-06	0.000635621	0	2.27E-05	0.000108964	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0	0	1.36E-05	0	4.54E-06	0	0	0	4.54E-06	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__pMC1	1.36E-05	0	0	0	0	0	0	0	0	0	0	0	4.54E-06	0	0	0	0	4.54E-06
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae	0	0	4.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae	1.36E-05	1.82E-05	0	0	0	0	4.54E-06	0	0	4.54E-06	1.82E-05	9.08E-06	4.54E-06	1.36E-05	0	0	0	4.54E-06
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;Other	9.08E-06	0	0	0	0	0	0	0	4.54E-06	0	9.08E-06	0	0	4.54E-06	0	0	0	9.08E-06
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__	2.27E-05	0	0	0	0	0	9.08E-06	0.000163445	0	0	2.72E-05	0	0	1.82E-05	7.26E-05	0.001157738	1.36E-05	0
