Centralia_C01	Centralia_C02	Centralia_C03	Centralia_C04	Centralia_C05	Centralia_C06	Centralia_C07	Centralia_C08	Centralia_C09	Centralia_C10	Centralia_C11	Centralia_C12	Centralia_C13	Centralia_C14	Centralia_C15	Centralia_C16	Centralia_C17	Centralia_C18
Unassigned;Other;Other;Other	0.001448308	0.000939811	0.000953432	0.001148658	0.001098716	0.001947725	0.001007913	0.000953432	0.000622001	0.00151641	0.002833054	0.001856922	0.002074849	0.002088469	0.001271242	0.000826307	0.000730964	0.001121417
k__Archaea;p__Crenarchaeota;c__Aigarchaeota;o__[Caldiarchales]	0	0	0	0	0	0	0	0	0	0	0	0	5.45E-05	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__MBGA;Other	0	0	4.54E-06	0	0	0	0	0	1.36E-05	0	0	0	0	9.08E-06	6.36E-05	0	0	0
k__Archaea;p__Crenarchaeota;c__MBGA;o__	3.18E-05	2.72E-05	9.53E-05	2.27E-05	5.90E-05	0.000122584	7.72E-05	3.63E-05	0.006210926	0.20620457	2.27E-05	0.134465647	0	0.121943911	0.08609034	0.001620834	0	0
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J	0.001089636	0.001489169	0.003386953	0.003709303	0.004385786	0.001434688	0.011064348	3.18E-05	0.016376324	0.040988482	0.001094176	0.012321969	4.54E-06	0.030083039	0.011972378	0.000186146	9.08E-05	0.000444935
k__Archaea;p__Crenarchaeota;c__MCG;o__	0	0	0	0	4.54E-06	4.54E-06	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__MCG;o__B10	0	9.08E-06	0	0	0	0	0	0	0	0	0	0	0	0	4.54E-06	0	0	0
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26	0.000508497	0.000281489	0.000222467	3.63E-05	0.000254248	6.81E-05	8.17E-05	5.90E-05	9.53E-05	0.000118044	2.72E-05	8.17E-05	0.000267869	6.81E-05	0.000118044	8.17E-05	6.81E-05	0.000326891
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;Other	0	0	0	0	0	0	0	0	0	2.27E-05	0	3.63E-05	0	3.18E-05	2.27E-05	4.54E-06	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales	0.000363212	0.000576599	0.000240628	0.006978212	0.003196266	0.000163445	0.026323794	0.00031327	0.037483485	0.001589053	0.000281489	0.010451427	0.010682975	0.000108964	0.020035686	0.003641201	8.17E-05	0.00031327
